frame,second,behaviours
235,9.4,"listening, listening, listening, listening, listening, listening, listening, listening"
236,9.44,"listening, listening, listening, listening, listening, listening"
237,9.48,"listening, listening, listening, listening, listening, listening, listening"
238,9.52,"listening, listening, listening, listening, listening, listening, listening"
239,9.56,"listening, listening, listening, listening, listening, listening"
240,9.6,"listening, listening, listening, listening, listening, listening, listening"
241,9.64,"listening, listening, listening, listening, listening, listening, listening"
242,9.68,"listening, listening, listening, listening, listening, listening, listening, listening"
243,9.72,"listening, listening, listening, listening, listening, listening, listening"
244,9.76,"listening, listening, listening, listening, listening, listening, listening"
245,9.8,"listening, listening, listening, listening, listening, listening, listening"
246,9.84,"listening, listening, listening, listening, listening, listening, listening"
247,9.88,"listening, listening, listening, listening, listening, listening, listening"
248,9.92,"listening, listening, listening, listening, listening, listening, listening"
249,9.96,"listening, listening, listening, listening, listening, listening, listening"
250,10.0,"listening, listening, listening, listening, listening, listening"
251,10.04,"listening, listening, listening, listening, listening, listening"
252,10.08,"listening, listening, listening, listening, listening, listening"
253,10.12,"listening, listening, listening, listening, listening, listening, listening"
254,10.16,"listening, listening, listening, listening, listening, listening, listening"
255,10.2,"listening, listening, listening, listening, listening, listening, listening"
